computer, size, run, open, setup, gpu, save, total
wc580sfp, 5, 2, 2.46145, 1.22239, 0.210398, 22.303, 25.9869
wc580sfp, 5, 3, 2.46451, 1.22885, 0.210379, 22.5331, 26.2265
wc580sfp, 7, 1, 2.46718, 1.41754, 0.397128, 23.7532, 27.6379
wc580sfp, 7, 2, 2.42645, 1.42112, 0.397083, 23.3536, 27.2011
wc580sfp, 7, 3, 2.44974, 1.41314, 0.397102, 23.2685, 27.1314
wc580sfp, 9, 1, 2.49393, 1.65903, 0.644115, 23.1394, 27.2924
wc580sfp, 9, 2, 2.29572, 1.61171, 0.644128, 23.1083, 27.0157
wc580sfp, 9, 3, 2.30208, 1.65605, 0.64416, 23.1876, 27.1457
wc580sfp, 11, 1, 2.45995, 1.92951, 0.950225, 23.1708, 27.5602
wc580sfp, 11, 2, 2.51081, 1.97103, 0.949851, 22.4203, 26.9022
wc580sfp, 11, 3, 2.46077, 1.97107, 0.94999, 22.5395, 26.9714
wc580sfp, 13, 1, 2.49608, 2.32548, 1.33349, 22.8678, 27.6894
wc580sfp, 13, 2, 2.43045, 2.31707, 1.31649, 23.5723, 28.3198
wc580sfp, 13, 3, 2.4321, 2.33546, 1.31623, 22.8104, 27.578
wc580sfp, 15, 1, 2.45763, 2.73315, 1.74008, 23.6627, 28.8535
wc580sfp, 15, 2, 2.37435, 2.72828, 1.74064, 23.6888, 28.7914
wc580sfp, 15, 3, 2.46574, 2.74352, 1.74122, 23.8651, 29.0744
wc580sfp, 17, 1, 2.48784, 3.22363, 2.22639, 24.0725, 29.7839
wc580sfp, 17, 2, 2.37436, 3.1884, 2.22709, 23.9051, 29.4678
wc580sfp, 17, 3, 2.48711, 3.22073, 2.22654, 24.0226, 29.7305
wc580sfp, 19, 1, 2.45163, 3.75815, 2.76925, 24.331, 30.5408
wc580sfp, 19, 2, 2.39378, 3.77156, 2.77049, 24.1157, 30.281
wc580sfp, 19, 3, 2.38045, 3.76487, 2.76955, 24.4854, 30.6307
wc580sfp, 21, 1, 2.45938, 4.37145, 3.37471, 24.2515, 31.0824
wc580sfp, 21, 2, 2.44576, 4.36064, 3.36969, 23.9636, 30.77
wc580sfp, 21, 3, 2.46385, 4.39804, 3.37564, 24.1642, 31.0261
wc580dfp, 3, 1, 2.47257, 1.26048, 0.0947063, 20.78, 24.5131
wc580dfp, 3, 2, 2.47124, 1.28926, 0.0946777, 21.0002, 24.7607
wc580dfp, 3, 3, 2.32774, 1.28528, 0.0946743, 21.421, 25.034
wc580dfp, 5, 1, 2.51742, 1.42651, 0.237473, 22.3548, 26.2988
wc580dfp, 5, 2, 2.51801, 1.43448, 0.237449, 22.2124, 26.1649
wc580dfp, 5, 3, 2.52004, 1.42192, 0.237396, 22.1928, 26.1347
wc580dfp, 7, 1, 2.40129, 1.64312, 0.452571, 23.2306, 27.275
wc580dfp, 7, 2, 2.50928, 1.63792, 0.452431, 23.4303, 27.5775
wc580dfp, 7, 3, 2.43244, 1.6535, 0.452428, 23.4638, 27.5498
wc580dfp, 9, 1, 2.47488, 1.91782, 0.728686, 23.5545, 27.9472
wc580dfp, 9, 2, 2.55177, 1.93275, 0.72914, 24.2366, 28.7211
wc580dfp, 9, 3, 2.4675, 1.92947, 0.729008, 23.4306, 27.8276
wc580dfp, 11, 1, 2.51924, 2.27575, 1.07185, 22.7832, 27.5782
wc580dfp, 11, 2, 2.43015, 2.25606, 1.07174, 22.2611, 26.9473
wc580dfp, 11, 3, 2.43081, 2.25261, 1.07189, 22.2719, 26.9553
wc580dfp, 13, 1, 2.48886, 2.65202, 1.47831, 23.0226, 28.1635
wc580dfp, 13, 2, 2.49486, 2.64698, 1.47801, 22.9897, 28.1315
wc580dfp, 13, 3, 2.4206, 2.64571, 1.47799, 22.8134, 27.8797
wc580dfp, 15, 1, 2.43421, 3.16071, 1.95389, 23.8464, 29.4413
wc580dfp, 15, 2, 2.47798, 3.14672, 1.95416, 23.8392, 29.4639
wc580dfp, 15, 3, 2.47833, 3.12969, 1.95415, 23.6619, 29.2699
wc580dfp, 17, 1, 2.42566, 3.66238, 2.48952, 24.6608, 30.7488
wc580dfp, 17, 2, 2.47606, 3.66024, 2.48957, 24.4854, 30.6217
